player_id,goals,full_name,num_picks
WSL_0055,2,Océane Hurtré,0.0
WSL_0320,2,Viviane Asseyi,0.0
WSL_0110,2,Lauren James,0.0
WSL_0174,2,Grace Fisk,0.0
WSL_0230,2,Mary Fowler,0.0
WSL_0052,1,Lily Crosthwaite,0.0
WSL_0121,1,Keira Walsh,0.0
WSL_0107,1,Sjoeke Nüsken,0.0
WSL_0104,1,Ellie Carpenter,0.0
WSL_0193,1,Aurélie Csillag,0.0
WSL_0177,1,Cornelia Kapocs,0.0
WSL_0269,1,Simi Awujo,0.0
WSL_0226,1,Jade Rose,0.0
WSL_0287,1,Signe Gaupset,0.0
WSL_0337,1,Vivien Endemann,0.0
WSL_0340,1,Amalie Vangsgaard,0.0
WSL_0358,1,Lexi Lloyd-Smith,0.0
